map,actual_layout,visual_family,implementation,primary_tileset,secondary_tileset
ArtisanCave_1F,LAYOUT_ARTISAN_CAVE_1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Cave,gTileset_General,gTileset_Cave
Route2_ViridianForest_SouthEntrance_Frlg,LAYOUT_ROUTE2_ENTRANCE,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
Route2_hns,LAYOUT_ROUTE2_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_ViridianCity_Hns,gTileset_Kanto_General_Hns,gTileset_ViridianCity_Hns
Route30_House_hns,LAYOUT_ROUTE30_HOUSE_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_House_Lab_Hns,gTileset_Johto_Building_Hns,gTileset_House_Lab_Hns
Route30_MrPokemonsHouse_hns,LAYOUT_ROUTE30_MR_POKEMONS_HOUSE_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_House_Lab_Hns,gTileset_Johto_Building_Hns,gTileset_House_Lab_Hns
Route30_hns,LAYOUT_ROUTE30_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_CherrygroveCity_Hns,gTileset_Johto_General_Hns,gTileset_CherrygroveCity_Hns
Route31_hns,LAYOUT_ROUTE31_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_CherrygroveCity_Hns,gTileset_Johto_General_Hns,gTileset_CherrygroveCity_Hns
Route33_hns,LAYOUT_ROUTE33_HNS,Johto HNS,hns layout; gTileset_Johto_South_Hns + gTileset_AzaleaTown_Hns,gTileset_Johto_South_Hns,gTileset_AzaleaTown_Hns
Route34_hns,LAYOUT_ROUTE34_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Goldenrod_Hns,gTileset_Johto_General_Hns,gTileset_Goldenrod_Hns
Route35_hns,LAYOUT_ROUTE35_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Goldenrod_Hns,gTileset_Johto_General_Hns,gTileset_Goldenrod_Hns
Route36_hns,LAYOUT_ROUTE36_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_VioletCity_Hns,gTileset_Johto_General_Hns,gTileset_VioletCity_Hns
Route37_hns,LAYOUT_ROUTE37_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Ecruteak_City_Hns,gTileset_Johto_General_Hns,gTileset_Ecruteak_City_Hns
Route38_hns,LAYOUT_ROUTE38_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Route38_Farmland_Hns,gTileset_Johto_General_Hns,gTileset_Route38_Farmland_Hns
Route3_hns,LAYOUT_ROUTE3_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_PewterCity_Hns,gTileset_Kanto_General_Hns,gTileset_PewterCity_Hns
Route44_hns,LAYOUT_ROUTE44_HNS,Johto HNS,hns layout; gTileset_Johto_NorthEast_Hns + gTileset_CianwoodCity_Hns,gTileset_Johto_NorthEast_Hns,gTileset_CianwoodCity_Hns
Route45_hns,LAYOUT_ROUTE45_HNS,Johto HNS,hns layout; gTileset_Johto_NorthEast_Hns + gTileset_Blackthorn_Hns,gTileset_Johto_NorthEast_Hns,gTileset_Blackthorn_Hns
Route46_hns,LAYOUT_ROUTE46_HNS,Johto HNS,hns layout; gTileset_Johto_NorthEast_Hns + gTileset_CherrygroveCity_Hns,gTileset_Johto_NorthEast_Hns,gTileset_CherrygroveCity_Hns
Route4_hns,LAYOUT_ROUTE4_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_PewterCity_Hns,gTileset_Kanto_General_Hns,gTileset_PewterCity_Hns
Route5_hns,LAYOUT_ROUTE5_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_CeruleanCity_Hns,gTileset_Kanto_General_Hns,gTileset_CeruleanCity_Hns
Route6_hns,LAYOUT_ROUTE6_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_Vermilion_Hns,gTileset_Kanto_General_Hns,gTileset_Vermilion_Hns
Route7_hns,LAYOUT_ROUTE7_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_CeladonCity_Hns,gTileset_Kanto_General_Hns,gTileset_CeladonCity_Hns
Route8_Frlg,LAYOUT_ROUTE8,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_LavenderTown,gTileset_General_Frlg,gTileset_LavenderTown
RustboroCity,LAYOUT_RUSTBORO_CITY,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasRustboro,gTileset_HoennOrasGeneral,gTileset_HoennOrasRustboro
RustboroCity_CuttersHouse,LAYOUT_RUSTBORO_CITY_CUTTERS_HOUSE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_DevonCorp_1F,LAYOUT_RUSTBORO_CITY_DEVON_CORP_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Facility,gTileset_Building,gTileset_Facility
RustboroCity_DevonCorp_2F,LAYOUT_RUSTBORO_CITY_DEVON_CORP_2F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
RustboroCity_DevonCorp_3F,LAYOUT_RUSTBORO_CITY_DEVON_CORP_3F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Facility,gTileset_Building,gTileset_Facility
RustboroCity_Flat1_1F,LAYOUT_RUSTBORO_CITY_FLAT1_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_Flat1_2F,LAYOUT_RUSTBORO_CITY_FLAT1_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_Flat2_1F,LAYOUT_RUSTBORO_CITY_FLAT2_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_Flat2_2F,LAYOUT_RUSTBORO_CITY_FLAT2_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_Flat2_3F,LAYOUT_RUSTBORO_CITY_FLAT2_3F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_Gym,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
RustboroCity_House1,LAYOUT_RUSTBORO_CITY_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_House2,LAYOUT_RUSTBORO_CITY_HOUSE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_House3,LAYOUT_RUSTBORO_CITY_HOUSE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
RustboroCity_Mart,LAYOUT_MART,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
RustboroCity_PokemonCenter_1F,LAYOUT_POKEMON_CENTER_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
RustboroCity_PokemonCenter_2F,LAYOUT_POKEMON_CENTER_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
RustboroCity_PokemonSchool,LAYOUT_RUSTBORO_CITY_POKEMON_SCHOOL,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonSchool,gTileset_Building,gTileset_PokemonSchool
SaffronCity_hns,LAYOUT_SAFFRON_CITY_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_SaffronCity_Hns,gTileset_Kanto_General_Hns,gTileset_SaffronCity_Hns
SeafoamIslands_1F_Frlg,LAYOUT_SEAFOAM_ISLANDS_1F,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_SeafoamIslands,gTileset_General_Frlg,gTileset_SeafoamIslands
SeafoamIslands_B1F_Frlg,LAYOUT_SEAFOAM_ISLANDS_B1F,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_SeafoamIslands,gTileset_General_Frlg,gTileset_SeafoamIslands
SeafoamIslands_B2F_Frlg,LAYOUT_SEAFOAM_ISLANDS_B2F,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_SeafoamIslands,gTileset_General_Frlg,gTileset_SeafoamIslands
SeafoamIslands_B3F_Frlg,LAYOUT_SEAFOAM_ISLANDS_B3F,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_SeafoamIslands,gTileset_General_Frlg,gTileset_SeafoamIslands
SeafoamIslands_B4F_Frlg,LAYOUT_SEAFOAM_ISLANDS_B4F,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_SeafoamIslands,gTileset_General_Frlg,gTileset_SeafoamIslands
TradeCenter,LAYOUT_TRADE_CENTER,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_CableClub,gTileset_Building,gTileset_CableClub
TradeCenter_Frlg,LAYOUT_TRADE_CENTER_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_CableClub_Frlg,gTileset_BuildingFrlg,gTileset_CableClub_Frlg
UndergroundPath_EastEntrance_Frlg,LAYOUT_UNDERGROUND_PATH_ENTRANCE,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
UndergroundPath_EastWestTunnel_Frlg,LAYOUT_UNDERGROUND_PATH_EAST_WEST_TUNNEL,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_UndergroundPath,gTileset_BuildingFrlg,gTileset_UndergroundPath
UndergroundPath_WestEntrance_Frlg,LAYOUT_UNDERGROUND_PATH_ENTRANCE,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
UnionRoom,LAYOUT_UNION_ROOM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_UnionRoom,gTileset_Building,gTileset_UnionRoom
UnionRoom_Frlg,LAYOUT_UNION_ROOM_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_HallOfFame,gTileset_BuildingFrlg,gTileset_HallOfFame
VictoryRoad_1F,LAYOUT_VICTORY_ROAD_1F,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasCave,gTileset_HoennOrasGeneral,gTileset_HoennOrasCave
VictoryRoad_B1F,LAYOUT_VICTORY_ROAD_B1F,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasCave,gTileset_HoennOrasGeneral,gTileset_HoennOrasCave
VictoryRoad_B2F,LAYOUT_VICTORY_ROAD_B2F,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasCave,gTileset_HoennOrasGeneral,gTileset_HoennOrasCave
BattleFrontier_OutsideEast,LAYOUT_BATTLE_FRONTIER_OUTSIDE_EAST,Hoenn ORAS,emerald layout; gTileset_HoennOrasFrontierGeneral + gTileset_HoennOrasBattleFrontierOutsideEast,gTileset_HoennOrasFrontierGeneral,gTileset_HoennOrasBattleFrontierOutsideEast
CinnabarIsland_Frlg,LAYOUT_CINNABAR_ISLAND,not included — unseeded outdoor (Kanto FRLG),frlg layout; gTileset_General_Frlg + gTileset_CinnabarIsland,gTileset_General_Frlg,gTileset_CinnabarIsland
LavenderTown_Frlg,LAYOUT_LAVENDER_TOWN,not included — unseeded outdoor (Kanto FRLG),frlg layout; gTileset_General_Frlg + gTileset_LavenderTown,gTileset_General_Frlg,gTileset_LavenderTown
